step,time,k_before,k_after
682,6.82,-7918.67,-7918.67
683,6.83,-8086.4,-8086.39
684,6.84,-8242.82,-8242.82
685,6.85,-8387.58,-8387.57
686,6.86,-8520.35,-8520.35
687,6.87,-8640.85,-8640.84
688,6.88,-8748.81,-8748.8
689,6.89,-8844,-8844
690,6.9,-8926.23,-8926.23
691,6.91,-8995.35,-8995.35
692,6.92,-9051.22,-9051.22
693,6.93,-9093.76,-9093.76
694,6.94,-9122.91,-9122.91
695,6.95,-9138.65,-9138.64
696,6.96,-9140.99,-9140.98
697,6.97,-9129.98,-9129.97
698,6.98,-9105.7,-9105.7
699,6.99,-9068.27,-9068.27
700,7,-9017.84,-9017.84
701,7.01,-8954.6,-8954.6
702,7.02,-8878.76,-8878.75
703,7.03,-8790.56,-8790.56
704,7.04,-8690.3,-8690.29
705,7.05,-8578.27,-8578.27
706,7.06,-8454.82,-8454.82
707,7.07,-8320.32,-8320.31
708,7.08,-8175.15,-8175.15
709,7.09,-8019.76,-8019.75
710,7.1,-7854.57,-7854.57
711,7.11,-7680.06,-7680.06
712,7.12,-7496.73,-7496.73
713,7.13,-7305.09,-7305.09
714,7.14,-7105.67,-7105.67
715,7.15,-6899.04,-6899.03
716,7.16,-6685.74,-6685.74
717,7.17,-6466.38,-6466.38
718,7.18,-6241.55,-6241.55
719,7.19,-6011.86,-6011.86
720,7.2,-5777.93,-5777.93
721,7.21,-5540.38,-5540.38
722,7.22,-5299.87,-5299.87
723,7.23,-5057.02,-5057.02
724,7.24,-4812.48,-4812.48
725,7.25,-4566.89,-4566.89
726,7.26,-4320.92,-4320.92
727,7.27,-4075.18,-4075.18
728,7.28,-3830.34,-3830.34
729,7.29,-3587.02,-3587.03
730,7.3,-3345.86,-3345.86
731,7.31,-3107.47,-3107.47
732,7.32,-2872.46,-2872.47
733,7.33,-2641.44,-2641.44
734,7.34,-2414.99,-2414.99
735,7.35,-2193.67,-2193.67
736,7.36,-1978.04,-1978.04
737,7.37,-1768.64,-1768.65
738,7.38,-1565.99,-1565.99
739,7.39,-1370.58,-1370.58
740,7.4,-1182.88,-1182.88
741,7.41,-1003.35,-1003.36
742,7.42,-832.421,-832.423
743,7.43,-670.485,-670.488
744,7.44,-517.923,-517.926
745,7.45,-375.084,-375.086
746,7.46,-242.288,-242.291
747,7.47,-119.829,-119.831
748,7.48,-7.96794,-7.97056
749,7.49,93.0613,93.0586
750,7.5,183.057,183.054
751,7.51,261.848,261.845
752,7.52,329.294,329.291
753,7.53,385.288,385.285
754,7.54,429.754,429.751
755,7.55,462.647,462.645
756,7.56,483.957,483.954
757,7.57,493.702,493.699
758,7.58,491.934,491.931
759,7.59,478.738,478.735
760,7.6,454.227,454.224
761,7.61,418.547,418.544
762,7.62,371.874,371.872
763,7.63,314.414,314.412
764,7.64,246.402,246.4
765,7.65,168.101,168.099
766,7.66,79.8019,79.7997
767,7.67,-18.1776,-18.1798
768,7.68,-125.494,-125.496
769,7.69,-241.778,-241.78
770,7.7,-366.639,-366.641
771,7.71,-499.661,-499.663
772,7.72,-640.408,-640.41
773,7.73,-788.424,-788.425
774,7.74,-943.233,-943.234
775,7.75,-1104.34,-1104.34
776,7.76,-1271.24,-1271.24
777,7.77,-1443.41,-1443.41
778,7.78,-1620.31,-1620.31
779,7.79,-1801.39,-1801.39
780,7.8,-1986.09,-1986.09
781,7.81,-2173.85,-2173.85
782,7.82,-2364.08,-2364.08
783,7.83,-2556.21,-2556.21
784,7.84,-2749.66,-2749.66
785,7.85,-2943.83,-2943.83
