Time (s)  Flap Rotation y (radians)Flap Rotation y (degrees)
8.475            -0.033629       -1.926777
8.490            -0.033478       -1.918144
8.505            -0.033322       -1.909204
8.520            -0.033161       -1.899959
8.535            -0.032994       -1.890409
8.550            -0.032822       -1.880557
8.565            -0.032645       -1.870404
8.580            -0.032462       -1.859952
8.595            -0.032275       -1.849201
8.610            -0.032082       -1.838155
8.625            -0.031884       -1.826815
8.640            -0.031681       -1.815183
8.655            -0.031473       -1.803261
8.670            -0.031260       -1.791051
8.685            -0.031042       -1.778556
8.700            -0.030819       -1.765777
8.715            -0.030591       -1.752717
8.730            -0.030358       -1.739379
8.745            -0.030120       -1.725764
8.760            -0.029878       -1.711875
8.775            -0.029631       -1.697715
8.790            -0.029379       -1.683286
8.805            -0.029122       -1.668591
8.820            -0.028861       -1.653631
8.835            -0.028596       -1.638410
8.850            -0.028325       -1.622930
8.865            -0.028051       -1.607194
8.880            -0.027772       -1.591203
8.895            -0.027488       -1.574960
8.910            -0.027200       -1.558467
8.925            -0.026908       -1.541728
8.940            -0.026612       -1.524743
8.955            -0.026311       -1.507515
8.970            -0.026006       -1.490046
8.985            -0.025697       -1.472338
9.000            -0.025384       -1.454393
9.015            -0.025067       -1.436212
9.030            -0.024745       -1.417798
9.045            -0.024420       -1.399152
9.060            -0.024090       -1.380276
9.075            -0.023757       -1.361170
9.090            -0.023419       -1.341836
9.105            -0.023078       -1.322275
9.120            -0.022733       -1.302489
9.135            -0.022383       -1.282477
9.150            -0.022030       -1.262242
9.165            -0.021673       -1.241783
9.180            -0.021312       -1.221100
9.195            -0.020947       -1.200196
9.210            -0.020579       -1.179069
9.225            -0.020206       -1.157719
9.240            -0.019830       -1.136147
9.255            -0.019449       -1.114353
9.270            -0.019065       -1.092337
9.285            -0.018677       -1.070097
9.300            -0.018285       -1.047635
9.315            -0.017889       -1.024948
9.330            -0.017489       -1.002037
9.345            -0.017085       -0.978900
9.360            -0.016677       -0.955538
9.375            -0.016266       -0.931948
9.390            -0.015850       -0.908131
9.405            -0.015430       -0.884084
9.420            -0.015006       -0.859808
9.435            -0.014579       -0.835301
9.450            -0.014147       -0.810561
9.465            -0.013711       -0.785588
9.480            -0.013271       -0.760380
9.495            -0.012827       -0.734937
9.510            -0.012379       -0.709256
9.525            -0.011926       -0.683338
9.540            -0.011470       -0.657180
9.555            -0.011009       -0.630782
9.570            -0.010544       -0.604143
9.585            -0.010075       -0.577261
9.600            -0.009602       -0.550136
9.615            -0.009124       -0.522767
9.630            -0.008642       -0.495153
9.645            -0.008156       -0.467294
9.660            -0.007665       -0.439189
9.675            -0.007170       -0.410838
9.690            -0.006671       -0.382240
9.705            -0.006168       -0.353395
9.720            -0.005660       -0.324305
9.735            -0.005148       -0.294967
9.750            -0.004632       -0.265384
9.765            -0.004111       -0.235556
9.780            -0.003586       -0.205483
9.795            -0.003057       -0.175167
9.810            -0.002524       -0.144608
9.825            -0.001986       -0.113808
9.840            -0.001445       -0.082769
9.855            -0.000899       -0.051492
9.870            -0.000349       -0.019980
9.885             0.000205        0.011766
9.900             0.000763        0.043742
9.915             0.001326        0.075946
9.930             0.001892        0.108376
9.945             0.002461        0.141027
9.960             0.003035        0.173896
9.975             0.003612        0.206980
9.990             0.004194        0.240275
10.005            0.004778        0.273777
10.020            0.005367        0.307481
10.035            0.005958        0.341382
10.050            0.006553        0.375476
10.065            0.007152        0.409758
10.080            0.007753        0.444223
10.095            0.008358        0.478864
10.110            0.008965        0.513676
10.125            0.009576        0.548654
10.140            0.010189        0.583791
10.155            0.010805        0.619081
10.170            0.011423        0.654517
10.185            0.012044        0.690093
10.200            0.012668        0.725802
10.215            0.013293        0.761638
10.230            0.013921        0.797592
10.245            0.014550        0.833658
10.260            0.015181        0.869829
10.275            0.015814        0.906096
10.290            0.016449        0.942453
10.305            0.017085        0.978892
10.320            0.017722        1.015404
10.335            0.018361        1.051983
10.350            0.019000        1.088620
10.365            0.019640        1.125307
10.380            0.020281        1.162036
10.395            0.020923        1.198799
10.410            0.021565        1.235589
10.425            0.022208        1.272397
10.440            0.022850        1.309215
10.455            0.023493        1.346034
10.470            0.024135        1.382848
10.485            0.024778        1.419647
10.500            0.025419        1.456424
10.515            0.026061        1.493171
10.530            0.026701        1.529880
10.545            0.027341        1.566543
10.560            0.027980        1.603152
10.575            0.028618        1.639699
10.590            0.029255        1.676177
10.605            0.029890        1.712579
10.620            0.030524        1.748896
10.635            0.031156        1.785122
10.650            0.031787        1.821249
10.665            0.032415        1.857270
10.680            0.033042        1.893177
10.695            0.033667        1.928965
10.710            0.034289        1.964625
10.725            0.034909        2.000152
10.740            0.035527        2.035539
10.755            0.036142        2.070779
10.770            0.036754        2.105866
10.785            0.037364        2.140794
10.800            0.037971        2.175556
10.815            0.038574        2.210148
10.830            0.039175        2.244562
10.845            0.039772        2.278794
10.860            0.040367        2.312838
10.875            0.040957        2.346688
10.890            0.041545        2.380340
10.905            0.042129        2.413788
10.920            0.042709        2.447028
10.935            0.043285        2.480054
10.950            0.043858        2.512861
10.965            0.044426        2.545446
10.980            0.044991        2.577804
10.995            0.045552        2.609931
11.010            0.046108        2.641822
11.025            0.046661        2.673474
11.040            0.047209        2.704883
11.055            0.047753        2.736044
11.070            0.048292        2.766954
11.085            0.048828        2.797611
11.100            0.049358        2.828009
11.115            0.049884        2.858147
11.130            0.050405        2.888021
11.145            0.050922        2.917627
11.160            0.051434        2.946964
11.175            0.051941        2.976027
11.190            0.052444        3.004815
11.205            0.052942        3.033325
11.220            0.053434        3.061554
11.235            0.053922        3.089499
11.250            0.054405        3.117160
11.265            0.054882        3.144532
11.280            0.055355        3.171614
11.295            0.055823        3.198405
11.310            0.056285        3.224901
11.325            0.056742        3.251101
11.340            0.057195        3.277004
11.355            0.057641        3.302607
11.370            0.058083        3.327909
11.385            0.058519        3.352908
11.400            0.058950        3.377603
11.415            0.059376        3.401992
11.430            0.059796        3.426074
11.445            0.060211        3.449848
11.460            0.060621        3.473311
11.475            0.061025        3.496464
11.490            0.061423        3.519304
11.505            0.061817        3.541831
11.520            0.062204        3.564044
11.535            0.062586        3.585942
11.550            0.062963        3.607523
11.565            0.063334        3.628786
11.580            0.063700        3.649732
11.595            0.064060        3.670359
11.610            0.064414        3.690665
11.625            0.064763        3.710651
11.640            0.065106        3.730316
11.655            0.065444        3.749658
11.670            0.065776        3.768678
11.685            0.066102        3.787374
11.700            0.066423        3.805745
11.715            0.066738        3.823792
11.730            0.067047        3.841513
11.745            0.067351        3.858908
11.760            0.067649        3.875975
11.775            0.067941        3.892715
11.790            0.068227        3.909127
11.805            0.068508        3.925209
11.820            0.068783        3.940962
11.835            0.069052        3.956383
11.850            0.069315        3.971474
11.865            0.069573        3.986232
11.880            0.069825        4.000657
11.895            0.070071        4.014748
11.910            0.070311        4.028504
11.925            0.070545        4.041924
11.940            0.070773        4.055007
11.955            0.070996        4.067751
11.970            0.071212        4.080157
11.985            0.071423        4.092222
12.000            0.071627        4.103944
12.015            0.071826        4.115324
12.030            0.072019        4.126358
12.045            0.072205        4.137046
12.060            0.072386        4.147386
12.075            0.072560        4.157376
12.090            0.072728        4.167014
12.105            0.072890        4.176298
12.120            0.073046        4.185227
12.135            0.073196        4.193797
12.150            0.073339        4.202006
12.165            0.073476        4.209852
12.180            0.073606        4.217333
12.195            0.073730        4.224446
12.210            0.073848        4.231187
12.225            0.073959        4.237554
12.240            0.074064        4.243543
12.255            0.074162        4.249152
12.270            0.074253        4.254378
12.285            0.074337        4.259215
12.300            0.074415        4.263661
12.315            0.074486        4.267712
12.330            0.074549        4.271364
12.345            0.074606        4.274613
12.360            0.074656        4.277455
12.375            0.074698        4.279884
12.390            0.074733        4.281897
12.405            0.074761        4.283489
12.420            0.074781        4.284655
12.435            0.074794        4.285389
12.450            0.074799        4.285688
12.465            0.074797        4.285546
12.480            0.074787        4.284956
12.495            0.074768        4.283915
12.510            0.074742        4.282415
12.525            0.074708        4.280452
12.540            0.074666        4.278019
12.555            0.074615        4.275111
12.570            0.074556        4.271721
12.585            0.074488        4.267843
12.600            0.074412        4.263472
12.615            0.074327        4.258600
12.630            0.074233        4.253220
12.645            0.074130        4.247328
12.660            0.074018        4.240915
12.675            0.073897        4.233976
12.690            0.073766        4.226504
12.705            0.073627        4.218491
12.720            0.073477        4.209931
12.735            0.073318        4.200817
12.750            0.073149        4.191143
12.765            0.072970        4.180901
12.780            0.072782        4.170085
12.795            0.072583        4.158688
12.810            0.072374        4.146702
12.825            0.072154        4.134122
12.840            0.071924        4.120940
12.855            0.071683        4.107149
12.870            0.071432        4.092743
12.885            0.071170        4.077716
12.900            0.070896        4.062060
12.915            0.070612        4.045769
12.930            0.070316        4.028837
12.945            0.070010        4.011258
12.960            0.069691        3.993025
12.975            0.069362        3.974132
12.990            0.069020        3.954573
13.005            0.068667        3.934343
13.020            0.068302        3.913435
13.035            0.067926        3.891845
13.050            0.067537        3.869567
13.065            0.067136        3.846596
13.080            0.066723        3.822926
13.095            0.066297        3.798553
13.110            0.065860        3.773473
13.125            0.065409        3.747680
13.140            0.064947        3.721171
13.155            0.064471        3.693942
13.170            0.063984        3.665989
13.185            0.063483        3.637308
