Time (s)  Flap Rotation y (radians)Flap Rotation y (degrees)
16.80               0.1084          6.2102
16.83               0.1093          6.2648
16.86               0.1103          6.3187
16.89               0.1112          6.3720
16.92               0.1121          6.4247
16.95               0.1130          6.4768
16.98               0.1139          6.5282
17.01               0.1148          6.5790
17.04               0.1157          6.6291
17.07               0.1166          6.6786
17.10               0.1174          6.7274
17.13               0.1183          6.7756
17.16               0.1191          6.8230
17.19               0.1199          6.8698
17.22               0.1207          6.9160
17.25               0.1215          6.9614
17.28               0.1223          7.0062
17.31               0.1230          7.0502
17.34               0.1238          7.0936
17.37               0.1246          7.1363
17.40               0.1253          7.1783
17.43               0.1260          7.2195
17.46               0.1267          7.2601
17.49               0.1274          7.2999
17.52               0.1281          7.3391
17.55               0.1288          7.3775
17.58               0.1294          7.4151
17.61               0.1301          7.4521
17.64               0.1307          7.4883
17.67               0.1313          7.5238
17.70               0.1319          7.5585
17.73               0.1325          7.5925
17.76               0.1331          7.6257
17.79               0.1337          7.6582
17.82               0.1342          7.6900
17.85               0.1348          7.7210
17.88               0.1353          7.7512
17.91               0.1358          7.7807
17.94               0.1363          7.8094
17.97               0.1368          7.8374
18.00               0.1373          7.8646
18.03               0.1377          7.8910
18.06               0.1382          7.9166
18.09               0.1386          7.9415
18.12               0.1390          7.9656
18.15               0.1394          7.9889
18.18               0.1398          8.0114
18.21               0.1402          8.0332
18.24               0.1406          8.0541
18.27               0.1409          8.0743
18.30               0.1413          8.0937
18.33               0.1416          8.1122
18.36               0.1419          8.1300
18.39               0.1422          8.1470
18.42               0.1425          8.1632
18.45               0.1427          8.1786
18.48               0.1430          8.1932
18.51               0.1432          8.2070
18.54               0.1435          8.2200
18.57               0.1437          8.2322
18.60               0.1439          8.2436
18.63               0.1441          8.2542
18.66               0.1442          8.2640
18.69               0.1444          8.2730
18.72               0.1445          8.2812
18.75               0.1447          8.2886
18.78               0.1448          8.2951
18.81               0.1449          8.3009
18.84               0.1450          8.3058
18.87               0.1450          8.3099
18.90               0.1451          8.3133
18.93               0.1451          8.3158
18.96               0.1452          8.3175
18.99               0.1452          8.3184
19.02               0.1452          8.3185
19.05               0.1452          8.3178
19.08               0.1451          8.3162
19.11               0.1451          8.3139
19.14               0.1451          8.3108
19.17               0.1450          8.3068
19.20               0.1449          8.3021
19.23               0.1448          8.2965
19.26               0.1447          8.2901
19.29               0.1446          8.2830
19.32               0.1444          8.2750
19.35               0.1443          8.2663
19.38               0.1441          8.2567
19.41               0.1439          8.2463
19.44               0.1437          8.2352
19.47               0.1435          8.2232
19.50               0.1433          8.2105
19.53               0.1431          8.1969
19.56               0.1428          8.1826
19.59               0.1425          8.1675
19.62               0.1423          8.1516
19.65               0.1420          8.1349
19.68               0.1417          8.1174
19.71               0.1414          8.0992
19.74               0.1410          8.0801
19.77               0.1407          8.0603
19.80               0.1403          8.0397
19.83               0.1399          8.0184
19.86               0.1396          7.9963
19.89               0.1392          7.9734
19.92               0.1387          7.9497
19.95               0.1383          7.9253
19.98               0.1379          7.9002
20.01               0.1374          7.8742
20.04               0.1370          7.8476
20.07               0.1365          7.8202
20.10               0.1360          7.7920
20.13               0.1355          7.7631
20.16               0.1350          7.7335
20.19               0.1344          7.7031
20.22               0.1339          7.6720
20.25               0.1333          7.6402
20.28               0.1328          7.6076
20.31               0.1322          7.5743
20.34               0.1316          7.5403
20.37               0.1310          7.5056
20.40               0.1304          7.4702
20.43               0.1297          7.4341
20.46               0.1291          7.3973
20.49               0.1285          7.3597
20.52               0.1278          7.3215
20.55               0.1271          7.2826
20.58               0.1264          7.2430
20.61               0.1257          7.2028
20.64               0.1250          7.1618
20.67               0.1243          7.1202
20.70               0.1235          7.0780
20.73               0.1228          7.0350
20.76               0.1220          6.9914
20.79               0.1213          6.9472
20.82               0.1205          6.9023
20.85               0.1197          6.8567
20.88               0.1189          6.8106
20.91               0.1180          6.7638
20.94               0.1172          6.7163
20.97               0.1164          6.6683
21.00               0.1155          6.6196
21.03               0.1147          6.5703
21.06               0.1138          6.5204
21.09               0.1129          6.4699
21.12               0.1120          6.4187
21.15               0.1111          6.3670
21.18               0.1102          6.3148
21.21               0.1093          6.2619
21.24               0.1084          6.2085
21.27               0.1074          6.1544
21.30               0.1065          6.0999
21.33               0.1055          6.0447
21.36               0.1045          5.9890
21.39               0.1035          5.9328
21.42               0.1026          5.8760
21.45               0.1016          5.8187
21.48               0.1005          5.7608
21.51               0.0995          5.7024
