Time (s)  Flap Rotation y (radians)Flap Rotation y (degrees)
11.880            0.069147        3.961830
11.895            0.069391        3.975805
11.910            0.069629        3.989447
11.925            0.069861        4.002754
11.940            0.070088        4.015727
11.955            0.070308        4.028363
11.970            0.070523        4.040662
11.985            0.070732        4.052623
12.000            0.070934        4.064243
12.015            0.071131        4.075522
12.030            0.071322        4.086458
12.045            0.071507        4.097049
12.060            0.071686        4.107295
12.075            0.071859        4.117192
12.090            0.072025        4.126739
12.105            0.072186        4.135935
12.120            0.072340        4.144777
12.135            0.072488        4.153263
12.150            0.072630        4.161390
12.165            0.072766        4.169156
12.180            0.072895        4.176559
12.195            0.073018        4.183596
12.210            0.073134        4.190264
12.225            0.073244        4.196560
12.240            0.073347        4.202481
12.255            0.073444        4.208024
12.270            0.073534        4.213185
12.285            0.073617        4.217961
12.300            0.073694        4.222348
12.315            0.073764        4.226342
12.330            0.073826        4.229941
12.345            0.073882        4.233138
12.360            0.073931        4.235931
12.375            0.073973        4.238315
12.390            0.074007        4.240284
12.405            0.074034        4.241836
12.420            0.074054        4.242965
12.435            0.074066        4.243665
12.450            0.074071        4.243933
12.465            0.074068        4.243762
12.480            0.074057        4.243147
12.495            0.074038        4.242084
12.510            0.074012        4.240566
12.525            0.073977        4.238588
12.540            0.073935        4.236143
12.555            0.073884        4.233227
12.570            0.073825        4.229833
12.585            0.073757        4.225954
12.600            0.073681        4.221585
12.615            0.073596        4.216720
12.630            0.073502        4.211351
12.645            0.073399        4.205474
12.660            0.073288        4.199080
12.675            0.073167        4.192163
12.690            0.073037        4.184718
12.705            0.072898        4.176736
12.720            0.072749        4.168212
12.735            0.072591        4.159139
12.750            0.072423        4.149509
12.765            0.072245        4.139317
12.780            0.072057        4.128555
12.795            0.071859        4.117217
12.810            0.071651        4.105296
12.825            0.071433        4.092784
12.840            0.071204        4.079676
12.855            0.070964        4.065965
12.870            0.070715        4.051644
12.885            0.070454        4.036707
12.900            0.070182        4.021147
12.915            0.069900        4.004957
12.930            0.069606        3.988132
12.945            0.069301        3.970665
12.960            0.068985        3.952550
12.975            0.068657        3.933782
12.990            0.068318        3.914353
13.005            0.067968        3.894260
13.020            0.067605        3.873495
13.035            0.067231        3.852053
13.050            0.066845        3.829930
13.065            0.066447        3.807120
13.080            0.066037        3.783618
13.095            0.065614        3.759420
13.110            0.065180        3.734520
13.125            0.064733        3.708915
13.140            0.064274        3.682601
13.155            0.063802        3.655573
13.170            0.063318        3.627828
13.185            0.062821        3.599362
13.200            0.062311        3.570172
13.215            0.061789        3.540254
13.230            0.061254        3.509608
13.245            0.060707        3.478228
13.260            0.060146        3.446115
13.275            0.059573        3.413264
13.290            0.058986        3.379675
13.305            0.058387        3.345347
13.320            0.057775        3.310277
13.335            0.057150        3.274465
13.350            0.056512        3.237910
13.365            0.055861        3.200612
13.380            0.055197        3.162571
13.395            0.054520        3.123786
13.410            0.053830        3.084259
13.425            0.053128        3.043989
13.440            0.052412        3.002979
13.455            0.051683        2.961228
13.470            0.050942        2.918739
13.485            0.050187        2.875514
13.500            0.049420        2.831555
13.515            0.048640        2.786863
13.530            0.047847        2.741443
13.545            0.047042        2.695296
13.560            0.046224        2.648425
13.575            0.045393        2.600836
13.590            0.044550        2.552531
13.605            0.043695        2.503514
13.620            0.042827        2.453790
13.635            0.041947        2.403363
13.650            0.041054        2.352238
13.665            0.040150        2.300421
13.680            0.039234        2.247917
13.695            0.038305        2.194731
13.710            0.037365        2.140870
13.725            0.036413        2.086339
13.740            0.035450        2.031146
13.755            0.034475        1.975297
13.770            0.033489        1.918798
13.785            0.032492        1.861657
13.800            0.031484        1.803882
13.815            0.030464        1.745481
13.830            0.029434        1.686460
13.845            0.028394        1.626829
13.860            0.027342        1.566595
13.875            0.026281        1.505768
13.890            0.025209        1.444356
13.905            0.024127        1.382369
13.920            0.023035        1.319814
13.935            0.021934        1.256703
13.950            0.020823        1.193045
13.965            0.019702        1.128850
13.980            0.018573        1.064127
13.995            0.017434        0.998887
14.010            0.016286        0.933141
14.025            0.015130        0.866899
14.040            0.013966        0.800173
14.055            0.012793        0.732973
14.070            0.011612        0.665310
14.085            0.010423        0.597196
14.100            0.009227        0.528643
14.115            0.008023        0.459662
14.130            0.006811        0.390265
